날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 6월 25일,71.65,71.65,71.65,71.65,-,0.08%
2021년 6월 24일,71.6,71.6,71.6,71.6,-,0.11%
2021년 6월 23일,71.52,71.52,71.52,71.52,-,0.15%
2021년 6월 22일,71.41,71.41,71.41,71.41,-,-0.09%
2021년 6월 21일,71.48,71.48,71.48,71.48,-,0.57%
2021년 6월 18일,71.07,71.07,71.07,71.07,-,0.19%
2021년 6월 17일,70.94,70.94,70.94,70.94,-,-0.87%
2021년 6월 16일,71.56,71.56,71.56,71.56,-,0.24%
2021년 6월 15일,71.39,71.39,71.39,71.39,-,0.86%
2021년 6월 14일,70.78,70.78,70.78,70.78,-,0.24%
2021년 6월 11일,70.61,70.61,70.61,70.61,-,0.13%
2021년 6월 10일,70.52,70.52,70.52,70.52,-,0.25%
2021년 6월 9일,70.34,70.34,70.34,70.34,-,-0.03%
2021년 6월 8일,70.36,70.36,70.36,70.36,-,0.75%
2021년 6월 7일,69.84,69.84,69.84,69.84,-,-0.27%
2021년 6월 4일,70.03,70.03,70.03,70.03,-,0.81%
2021년 6월 3일,69.47,69.47,69.47,69.47,-,-0.04%
2021년 6월 2일,69.5,69.5,69.5,69.5,-,1.47%
2021년 6월 1일,68.49,68.49,68.49,68.49,-,3.34%
2021년 5월 28일,66.28,66.28,66.28,66.28,-,-0.06%
2021년 5월 27일,66.32,66.32,66.32,66.32,-,-0.03%
2021년 5월 26일,66.33,66.33,66.33,66.33,-,0.05%
2021년 5월 25일,66.3,66.3,66.3,66.3,-,0.06%
2021년 5월 24일,66.26,66.26,66.26,66.26,-,0.82%
2021년 5월 21일,65.73,65.73,65.73,65.73,-,0.51%
2021년 5월 20일,65.39,65.39,65.39,65.39,-,-0.79%
2021년 5월 19일,65.92,65.92,65.92,65.92,-,-1.09%
2021년 5월 18일,66.64,66.64,66.64,66.64,-,-0.27%
2021년 5월 17일,66.82,66.82,66.82,66.82,-,0.74%
2021년 5월 14일,66.33,66.33,66.33,66.33,-,1.39%
2021년 5월 13일,65.42,65.42,65.42,65.42,-,-2.02%
2021년 5월 12일,66.77,66.77,66.77,66.77,-,0.68%
2021년 5월 11일,66.32,66.32,66.32,66.32,-,0.18%
2021년 5월 10일,66.2,66.2,66.2,66.2,-,0.09%
2021년 5월 7일,66.15,66.15,66.15,66.15,-,0.21%
2021년 5월 6일,66.01,66.01,66.01,66.01,-,-0.97%
2021년 5월 5일,66.65,66.65,66.65,66.65,-,0.47%
2021년 5월 4일,66.35,66.35,66.35,66.35,-,2.03%
2021년 5월 3일,65.03,65.03,65.03,65.03,-,3.39%
2021년 4월 30일,62.89,62.89,62.89,62.89,-,0.00%
2021년 4월 29일,62.9,62.9,62.9,62.9,-,0.13%
2021년 4월 28일,62.81,62.81,62.81,62.81,-,0.11%
2021년 4월 27일,62.75,62.75,62.75,62.75,-,0.21%
2021년 4월 26일,62.62,62.62,62.62,62.62,-,-0.30%
2021년 4월 23일,62.8,62.8,62.8,62.8,-,0.19%
2021년 4월 22일,62.68,62.68,62.68,62.68,-,-0.05%
2021년 4월 21일,62.71,62.71,62.71,62.71,-,-0.81%
2021년 4월 20일,63.23,63.23,63.23,63.23,-,-0.39%
2021년 4월 19일,63.47,63.47,63.47,63.47,-,0.09%
2021년 4월 16일,63.42,63.42,63.42,63.42,-,-0.10%
2021년 4월 15일,63.48,63.48,63.48,63.48,-,0.34%
2021년 4월 14일,63.26,63.26,63.26,63.26,-,2.82%
2021년 4월 13일,61.53,61.53,61.53,61.53,-,0.37%
2021년 4월 12일,61.3,61.3,61.3,61.3,-,0.19%
2021년 4월 9일,61.19,61.19,61.19,61.19,-,-0.45%
2021년 4월 8일,61.47,61.47,61.47,61.47,-,0.02%
2021년 4월 7일,61.46,61.46,61.46,61.46,-,0.82%
2021년 4월 6일,60.96,60.96,60.96,60.96,-,0.41%
2021년 4월 5일,60.71,60.71,60.71,60.71,-,-4.05%
2021년 4월 1일,63.27,63.27,63.27,63.27,-,-1.78%
2021년 3월 31일,64.41,64.41,64.41,64.41,-,0.01%
2021년 3월 30일,64.41,64.41,64.41,64.41,-,-0.02%
2021년 3월 29일,64.42,64.42,64.42,64.42,-,-0.02%
2021년 3월 26일,64.43,64.43,64.43,64.43,-,0.61%
2021년 3월 25일,64.05,64.05,64.05,64.05,-,-0.71%
2021년 3월 24일,64.5,64.5,64.5,64.5,-,1.23%
2021년 3월 23일,63.72,63.72,63.72,63.72,-,-1.52%
2021년 3월 22일,64.71,64.71,64.71,64.71,-,0.21%
2021년 3월 19일,64.57,64.57,64.57,64.57,-,1.05%
2021년 3월 18일,63.9,63.9,63.9,63.9,-,-2.84%
2021년 3월 17일,65.77,65.77,65.77,65.77,-,-0.43%
2021년 3월 16일,66.05,66.05,66.05,66.05,-,-0.49%
2021년 3월 15일,66.38,66.38,66.38,66.38,-,-0.19%
2021년 3월 12일,66.5,66.5,66.5,66.5,-,-0.22%
2021년 3월 11일,66.65,66.65,66.65,66.65,-,1.69%
2021년 3월 10일,65.54,65.54,65.54,65.54,-,0.26%
2021년 3월 9일,65.37,65.37,65.37,65.37,-,-0.70%
2021년 3월 8일,65.84,65.84,65.84,65.84,-,-1.58%
2021년 3월 5일,66.89,66.89,66.89,66.89,-,3.23%
2021년 3월 4일,64.8,64.8,64.8,64.8,-,3.59%
2021년 3월 3일,62.55,62.55,62.55,62.55,-,2.00%
2021년 3월 2일,61.33,61.33,61.33,61.33,-,-1.53%
2021년 3월 1일,62.28,62.28,62.28,62.28,-,2.34%
2021년 2월 26일,60.85,60.85,60.85,60.85,-,0.03%
2021년 2월 25일,60.84,60.84,60.84,60.84,-,0.04%
2021년 2월 24일,60.81,60.81,60.81,60.81,-,0.29%
2021년 2월 23일,60.63,60.63,60.63,60.63,-,0.02%
2021년 2월 22일,60.62,60.62,60.62,60.62,-,0.70%
2021년 2월 19일,60.2,60.2,60.2,60.2,-,-0.66%
2021년 2월 18일,60.59,60.59,60.59,60.59,-,-0.49%
2021년 2월 17일,60.89,60.89,60.89,60.89,-,0.48%
2021년 2월 16일,60.6,60.6,60.6,60.6,-,0.61%
2021년 2월 12일,60.23,60.23,60.23,60.23,-,1.13%
2021년 2월 11일,59.56,59.56,59.56,59.56,-,-0.23%
2021년 2월 10일,59.69,59.69,59.69,59.69,-,0.10%
2021년 2월 9일,59.63,59.63,59.63,59.63,-,0.45%
2021년 2월 8일,59.36,59.36,59.36,59.36,-,1.65%
2021년 2월 5일,58.4,58.4,58.4,58.4,-,0.74%
2021년 2월 4일,57.97,57.97,57.97,57.97,-,0.48%
2021년 2월 3일,57.69,57.69,57.69,57.69,-,1.73%
2021년 2월 2일,56.71,56.71,56.71,56.71,-,1.88%
2021년 2월 1일,55.66,55.66,55.66,55.66,-,1.62%
2021년 1월 29일,54.77,54.77,54.77,54.77,-,0.02%
2021년 1월 28일,54.76,54.76,54.76,54.76,-,-0.09%
2021년 1월 27일,54.81,54.81,54.81,54.81,-,-0.02%
2021년 1월 26일,54.82,54.82,54.82,54.82,-,-0.08%
2021년 1월 25일,54.87,54.87,54.87,54.87,-,0.20%
2021년 1월 22일,54.76,54.76,54.76,54.76,-,-0.35%
2021년 1월 21일,54.95,54.95,54.95,54.95,-,-0.02%
2021년 1월 20일,54.97,54.97,54.97,54.97,-,0.14%
2021년 1월 19일,54.89,54.89,54.89,54.89,-,0.66%
2021년 1월 15일,54.53,54.53,54.53,54.53,-,-1.15%
2021년 1월 14일,55.17,55.17,55.17,55.17,-,0.37%
2021년 1월 13일,54.96,54.96,54.96,54.96,-,-0.73%
2021년 1월 12일,55.37,55.37,55.37,55.37,-,1.08%
2021년 1월 11일,54.78,54.78,54.78,54.78,-,-0.51%
2021년 1월 8일,55.06,55.06,55.06,55.06,-,2.37%
2021년 1월 7일,53.78,53.78,53.78,53.78,-,0.28%
2021년 1월 6일,53.63,53.63,53.63,53.63,-,1.50%
2021년 1월 5일,52.84,52.84,52.84,52.84,-,4.40%
2021년 1월 4일,50.61,50.61,50.61,50.61,-,1.60%
2020년 12월 31일,49.81,49.81,49.81,49.81,-,0.00%
2020년 12월 30일,49.82,49.82,49.82,49.82,-,0.07%
2020년 12월 29일,49.78,49.78,49.78,49.78,-,0.01%
2020년 12월 28일,49.77,49.77,49.77,49.77,-,-0.13%
2020년 12월 24일,49.84,49.84,49.84,49.84,-,0.04%
2020년 12월 23일,49.81,49.81,49.81,49.81,-,0.49%
2020년 12월 22일,49.57,49.57,49.57,49.57,-,-0.58%
2020년 12월 21일,49.86,49.86,49.86,49.86,-,-0.96%
2020년 12월 18일,50.34,50.34,50.34,50.34,-,0.53%
2020년 12월 17일,50.08,50.08,50.08,50.08,-,0.23%
2020년 12월 16일,49.96,49.96,49.96,49.96,-,0.30%
2020년 12월 15일,49.81,49.81,49.81,49.81,-,0.72%
2020년 12월 14일,49.46,49.46,49.46,49.46,-,0.48%
2020년 12월 11일,49.22,49.22,49.22,49.22,-,-0.13%
2020년 12월 10일,49.29,49.29,49.29,49.29,-,1.80%
2020년 12월 9일,48.42,48.42,48.42,48.42,-,0.28%
2020년 12월 8일,48.28,48.28,48.28,48.28,-,0.12%
2020년 12월 7일,48.23,48.23,48.23,48.23,-,-0.26%
2020년 12월 4일,48.35,48.35,48.35,48.35,-,0.65%
2020년 12월 3일,48.04,48.04,48.04,48.04,-,0.78%
2020년 12월 2일,47.67,47.67,47.67,47.67,-,1.51%
2020년 12월 1일,46.96,46.96,46.96,46.96,-,8.22%
2020년 11월 30일,43.39,43.39,43.39,43.39,-,-0.10%
2020년 11월 27일,43.44,43.44,43.44,43.44,-,-0.19%
2020년 11월 25일,43.52,43.52,43.52,43.52,-,0.29%
2020년 11월 24일,43.4,43.4,43.4,43.4,-,0.74%
2020년 11월 23일,43.08,43.08,43.08,43.08,-,0.55%
2020년 11월 20일,42.84,42.84,42.84,42.84,-,0.57%
2020년 11월 19일,42.6,42.6,42.6,42.6,-,-0.22%
2020년 11월 18일,42.69,42.69,42.69,42.69,-,0.48%
2020년 11월 17일,42.49,42.49,42.49,42.49,-,-0.08%
2020년 11월 16일,42.52,42.52,42.52,42.52,-,1.55%
2020년 11월 13일,41.87,41.87,41.87,41.87,-,-1.17%
2020년 11월 12일,42.37,42.37,42.37,42.37,-,0.03%
2020년 11월 11일,42.36,42.36,42.36,42.36,-,0.39%
2020년 11월 10일,42.19,42.19,42.19,42.19,-,1.90%
2020년 11월 9일,41.4,41.4,41.4,41.4,-,5.40%
2020년 11월 6일,39.28,39.28,39.28,39.28,-,-2.14%
2020년 11월 5일,40.14,40.14,40.14,40.14,-,-1.00%
2020년 11월 4일,40.55,40.55,40.55,40.55,-,3.54%
2020년 11월 3일,39.16,39.16,39.16,39.16,-,2.11%
2020년 11월 2일,38.36,38.36,38.36,38.36,-,-5.67%
2020년 10월 30일,40.66,40.66,40.66,40.66,-,-0.05%
2020년 10월 29일,40.68,40.68,40.68,40.68,-,-0.17%
2020년 10월 28일,40.75,40.75,40.75,40.75,-,-0.56%
2020년 10월 27일,40.98,40.98,40.98,40.98,-,0.23%
2020년 10월 26일,40.89,40.89,40.89,40.89,-,-0.62%
2020년 10월 23일,41.14,41.14,41.14,41.14,-,-0.40%
2020년 10월 22일,41.31,41.31,41.31,41.31,-,0.58%
2020년 10월 21일,41.07,41.07,41.07,41.07,-,-1.26%
2020년 10월 20일,41.59,41.59,41.59,41.59,-,0.52%
2020년 10월 19일,41.37,41.37,41.37,41.37,-,-0.26%
2020년 10월 16일,41.48,41.48,41.48,41.48,-,-0.40%
2020년 10월 15일,41.65,41.65,41.65,41.65,-,-0.31%
2020년 10월 14일,41.78,41.78,41.78,41.78,-,1.31%
2020년 10월 13일,41.24,41.24,41.24,41.24,-,1.13%
2020년 10월 12일,40.78,40.78,40.78,40.78,-,-1.69%
2020년 10월 9일,41.48,41.48,41.48,41.48,-,-0.94%
2020년 10월 8일,41.88,41.88,41.88,41.88,-,2.19%
2020년 10월 7일,40.98,40.98,40.98,40.98,-,-1.41%
2020년 10월 6일,41.56,41.56,41.56,41.56,-,2.83%
2020년 10월 5일,40.42,40.42,40.42,40.42,-,5.04%
2020년 10월 2일,38.48,38.48,38.48,38.48,-,-4.53%
2020년 10월 1일,40.3,40.3,40.3,40.3,-,-2.87%
2020년 9월 30일,41.49,41.49,41.49,41.49,-,-0.09%
2020년 9월 29일,41.53,41.53,41.53,41.53,-,-0.22%
2020년 9월 28일,41.62,41.62,41.62,41.62,-,0.05%
2020년 9월 25일,41.6,41.6,41.6,41.6,-,0.09%
2020년 9월 24일,41.56,41.56,41.56,41.56,-,0.19%
