date,price
2009년07월06일,1444.78
2009년07월07일,1444.33
2009년07월08일,1443.13
2009년07월09일,1442.19
2009년07월10일,1441.44
2009년07월11일,1440.61
2009년07월12일,1440.46
2009년07월13일,1438.7
2009년07월14일,1433.93
2009년07월15일,1429.54
2009년07월16일,1424.53
2009년07월17일,1421.44
2009년07월18일,1418.74
2009년07월19일,1417.4
2009년07월20일,1414.19
2009년07월21일,1411.32
2009년07월22일,1409.41
2009년07월23일,1407.56
2009년07월24일,1407.37
2009년07월25일,1406.84
2009년07월26일,1406.66
2009년07월27일,1405.84
2009년07월28일,1409.7
2009년07월29일,1410.45
2009년07월30일,1411.18
2009년07월31일,1412.91
2009년08월01일,1414.24
2009년08월02일,1414.88
2009년08월03일,1415.5
2009년08월04일,1418.9
2009년08월05일,1422.88
2009년08월06일,1423.56
2009년08월07일,1426.33
2009년08월08일,1429.31
2009년08월09일,1431.33
2009년08월10일,1433.6
2009년08월11일,1439.69
2009년08월12일,1444.13
2009년08월13일,1446.89
2009년08월14일,1451.12
2009년08월15일,1453.19
2009년08월16일,1454.1
2009년08월17일,1454.83
2009년08월18일,1457.63
2009년08월19일,1458.63
2009년08월20일,1459.34
2009년08월21일,1461.46
2009년08월22일,1462.96
2009년08월23일,1463.73
2009년08월24일,1464.04
2009년08월25일,1464.99
2009년08월26일,1465.58
2009년08월27일,1465.41
2009년08월28일,1466.71
2009년08월29일,1467.06
2009년08월30일,1467.28
2009년08월31일,1466.97
2009년09월01일,1468.73
2009년09월02일,1469.28
2009년09월03일,1468.76
2009년09월04일,1469.13
2009년09월05일,1468.9
2009년09월06일,1468.87
2009년09월07일,1468
2009년09월08일,1466.42
2009년09월09일,1464.87
2009년09월10일,1463.11
2009년09월11일,1462.3
2009년09월12일,1461.27
2009년09월13일,1460.69
2009년09월14일,1458.64
2009년09월15일,1455.99
2009년09월16일,1453.43
2009년09월17일,1450.87
2009년09월18일,1449.48
2009년09월19일,1448.03
2009년09월20일,1447.51
2009년09월21일,1445.69
2009년09월22일,1443.37
2009년09월23일,1441.28
2009년09월24일,1438.81
2009년09월25일,1437.25
2009년09월26일,1435.5
2009년09월27일,1434.45
2009년09월28일,1432.02
2009년09월29일,1427.63
2009년09월30일,1423.95
2009년10월01일,1419.75
